Name:		DI-NEARP-n422-Q16k
Optimal value:	-1
#Vehicles:	-1
Capacity:	16000
Depot Node:	507
#Nodes:		710
#Edges:		871
#Arcs:		0
#Required N:	302
#Required E:	120
#Required A:	0

ReN.	DEMAND	S. COST
N1	7	7
N2	53	53
N3	1	1
N4	41	41
N5	1	1
N6	7	7
N7	7	7
N8	1	1
N9	7	7
N10	16	16
N11	12	12
N12	7	7
N13	1	1
N14	1	1
N15	18	18
N16	20	20
N17	1	1
N18	7	7
N19	7	7
N20	1	1
N21	14	14
N22	1	1
N23	19	19
N24	1	1
N25	63	63
N26	7	7
N27	7	7
N28	1	1
N29	1	1
N30	7	7
N31	1	1
N32	7	7
N33	119	119
N34	27	27
N35	7	7
N36	1	1
N37	7	7
N38	7	7
N39	7	7
N40	7	7
N41	1	1
N42	1	1
N43	7	7
N44	93	93
N45	1	1
N46	1	1
N47	7	7
N48	7	7
N49	7	7
N50	1	1
N51	1	1
N52	21	21
N53	137	137
N54	7	7
N55	1	1
N56	7	7
N57	1	1
N58	24	24
N59	7	7
N60	7	7
N61	1	1
N62	1	1
N63	12	12
N64	20	20
N65	103	103
N66	12	12
N67	6	6
N68	1	1
N69	32	32
N70	44	44
N71	1	1
N72	7	7
N73	62	62
N74	44	44
N75	84	84
N76	1	1
N77	55	55
N78	1	1
N79	1	1
N80	12	12
N81	1	1
N82	7	7
N83	1	1
N84	1	1
N85	1	1
N86	1	1
N87	49	49
N88	1	1
N89	1	1
N90	1	1
N91	38	38
N92	1	1
N93	1	1
N94	29	29
N95	19	19
N96	1	1
N97	12	12
N98	1	1
N99	1	1
N100	1	1
N101	1	1
N102	60	60
N103	7	7
N104	7	7
N105	7	7
N106	7	7
N107	7	7
N108	12	12
N109	14	14
N110	1	1
N111	7	7
N112	7	7
N113	7	7
N114	1	1
N115	7	7
N116	17	17
N117	7	7
N118	7	7
N119	7	7
N120	7	7
N121	7	7
N122	7	7
N123	10	10
N124	7	7
N125	7	7
N126	100	100
N127	7	7
N128	12	12
N129	7	7
N130	12	12
N131	1	1
N132	14	14
N133	1	1
N134	44	44
N135	1	1
N136	7	7
N137	12	12
N138	1	1
N139	7	7
N140	7	7
N141	1	1
N142	1	1
N143	7	7
N144	7	7
N145	1	1
N146	1	1
N147	1	1
N148	7	7
N149	7	7
N150	7	7
N151	12	12
N152	7	7
N153	12	12
N154	17	17
N155	28	28
N156	78	78
N157	7	7
N158	7	7
N159	7	7
N160	7	7
N161	24	24
N162	1	1
N163	1	1
N164	1	1
N165	7	7
N166	7	7
N167	14	14
N168	1	1
N169	1	1
N170	1	1
N171	7	7
N172	1	1
N173	7	7
N174	1	1
N175	7	7
N176	1	1
N177	7	7
N178	1	1
N179	1	1
N180	7	7
N181	97	97
N182	53	53
N183	7	7
N184	1	1
N185	1	1
N186	1	1
N187	1	1
N188	1	1
N189	7	7
N190	1	1
N191	1	1
N192	1	1
N193	1	1
N194	7	7
N195	7	7
N196	1	1
N197	102	102
N198	7	7
N199	12	12
N200	66	66
N201	1	1
N202	49	49
N203	26	26
N204	53	53
N205	16	16
N206	160	160
N207	62	62
N208	14	14
N209	26	26
N210	26	26
N211	128	128
N212	9	9
N213	39	39
N214	107	107
N215	137	137
N216	264	264
N217	3	3
N218	10	10
N219	2	2
N220	27	27
N221	16	16
N222	10	10
N223	71	71
N224	9	9
N225	25	25
N226	161	161
N227	84	84
N228	75	75
N229	306	306
N230	22	22
N231	44	44
N232	56	56
N233	22	22
N234	57	57
N235	19	19
N236	60	60
N237	9	9
N238	21	21
N239	19	19
N240	23	23
N241	23	23
N242	11	11
N243	63	63
N244	20	20
N245	23	23
N246	26	26
N247	110	110
N248	34	34
N249	25	25
N250	14	14
N251	17	17
N252	16	16
N253	16	16
N254	15	15
N255	12	12
N256	16	16
N257	37	37
N258	32	32
N259	25	25
N260	10	10
N261	169	169
N262	37	37
N263	16	16
N264	9	9
N265	19	19
N266	16	16
N267	48	48
N268	10	10
N269	42	42
N270	217	217
N271	21	21
N272	69	69
N273	18	18
N274	139	139
N275	24	24
N276	23	23
N277	36	36
N278	100	100
N279	103	103
N280	21	21
N281	60	60
N282	18	18
N283	19	19
N284	20	20
N285	42	42
N286	9	9
N287	42	42
N288	60	60
N289	16	16
N290	16	16
N291	14	14
N292	50	50
N293	28	28
N294	16	16
N295	26	26
N296	53	53
N297	18	18
N298	60	60
N299	60	60
N300	72	72
N301	10	10
N302	15	15

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	204	303	36	55	91
E2	304	231	41	84	125
E3	11	305	10	14	24
E4	306	307	30	66	96
E5	308	18	20	24	44
