Name:		DI-NEARP-n477-Q2k
Optimal value:	-1
#Vehicles:	-1
Capacity:	2000
Depot Node:	325
#Nodes:		667
#Edges:		837
#Arcs:		0
#Required N:	203
#Required E:	274
#Required A:	0

ReN.	DEMAND	S. COST
N1	7	7
N2	7	7
N3	1	1
N4	21	21
N5	1	1
N6	7	7
N7	7	7
N8	1	1
N9	12	12
N10	1	1
N11	7	7
N12	7	7
N13	62	62
N14	6	6
N15	7	7
N16	1	1
N17	1	1
N18	44	44
N19	7	7
N20	1	1
N21	7	7
N22	1	1
N23	7	7
N24	7	7
N25	7	7
N26	1	1
N27	7	7
N28	1	1
N29	7	7
N30	7	7
N31	59	59
N32	1	1
N33	7	7
N34	1	1
N35	1	1
N36	1	1
N37	1	1
N38	15	15
N39	42	42
N40	7	7
N41	1	1
N42	1	1
N43	7	7
N44	59	59
N45	7	7
N46	7	7
N47	1	1
N48	1	1
N49	1	1
N50	7	7
N51	1	1
N52	1	1
N53	7	7
N54	1	1
N55	1	1
N56	1	1
N57	1	1
N58	1	1
N59	7	7
N60	7	7
N61	7	7
N62	7	7
N63	7	7
N64	1	1
N65	20	20
N66	1	1
N67	19	19
N68	7	7
N69	1	1
N70	7	7
N71	7	7
N72	1	1
N73	7	7
N74	7	7
N75	26	26
N76	7	7
N77	1	1
N78	1	1
N79	1	1
N80	7	7
N81	1	1
N82	1	1
N83	1	1
N84	1	1
N85	7	7
N86	1	1
N87	7	7
N88	26	26
N89	1	1
N90	1	1
N91	7	7
N92	1	1
N93	7	7
N94	1	1
N95	1	1
N96	214	214
N97	7	7
N98	7	7
N99	1	1
N100	23	23
N101	7	7
N102	1	1
N103	7	7
N104	12	12
N105	1	1
N106	1	1
N107	7	7
N108	7	7
N109	7	7
N110	7	7
N111	7	7
N112	7	7
N113	1	1
N114	1	1
N115	1	1
N116	71	71
N117	1	1
N118	7	7
N119	7	7
N120	1	1
N121	152	152
N122	12	12
N123	11	11
N124	66	66
N125	12	12
N126	1	1
N127	1	1
N128	7	7
N129	7	7
N130	1	1
N131	1	1
N132	7	7
N133	1	1
N134	1	1
N135	1	1
N136	1	1
N137	7	7
N138	1	1
N139	1	1
N140	7	7
N141	1	1
N142	1	1
N143	7	7
N144	7	7
N145	7	7
N146	1	1
N147	1	1
N148	1	1
N149	7	7
N150	115	115
N151	1	1
N152	7	7
N153	7	7
N154	7	7
N155	1	1
N156	1	1
N157	1	1
N158	62	62
N159	7	7
N160	7	7
N161	1	1
N162	1	1
N163	1	1
N164	1	1
N165	1	1
N166	1	1
N167	7	7
N168	18	18
N169	7	7
N170	7	7
N171	18	18
N172	125	125
N173	114	114
N174	22	22
N175	20	20
N176	307	307
N177	15	15
N178	21	21
N179	49	49
N180	15	15
N181	98	98
N182	16	16
N183	15	15
N184	14	14
N185	60	60
N186	8	8
N187	20	20
N188	20	20
N189	21	21
N190	13	13
N191	100	100
N192	33	33
N193	17	17
N194	15	15
N195	50	50
N196	22	22
N197	63	63
N198	103	103
N199	144	144
N200	9	9
N201	57	57
N202	53	53
N203	38	38

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	204	23	4	27
E2	1	2	32	14	46
E3	119	4	20	41	61
E4	205	4	59	100	159
E5	206	207	11	26	37
E6	208	209	64	1	65
E7	172	210	27	50	77
E8	211	212	33	208	241
E9	213	214	70	158	228
E10	215	216	59	115	174
E11	217	190	51	100	151
E12	218	219	84	86	170
E13	220	221	55	110	165
E14	222	223	90	183	273
E15	224	225	65	100	165
E16	224	226	77	47	124
E17	177	6	21	24	45
E18	6	16	87	1	88
E19	10	227	39	135	174
E20	10	228	9	1	10
E21	20	229	22	30	52
E22	22	230	49	7	56
E23	231	171	33	45	78
E24	232	233	97	31	128
E25	25	234	9	14	23
E26	226	235	11	21	32
E27	236	237	13	41	54
E28	28	238	34	7	41
E29	28	239	12	17	29
E30	240	241	10	7	17
E31	240	242	8	1	9
E32	29	30	23	7	30
E33	214	128	9	7	16
E34	23	243	15	37	52
E35	244	245	70	87	157
E36	246	247	35	82	117
E37	248	247	56	15	71
E38	249	208	68	7	75
E39	250	251	22	14	36
E40	252	253	36	59	95
E41	172	254	11	26	37
E42	20	34	72	143	215
E43	255	256	75	172	247
E44	257	218	38	11	49
E45	258	196	11	26	37
E46	259	260	48	103	151
E47	261	20	36	54	90
E48	205	262	8	14	22
E49	249	36	13	11	24
E50	263	264	11	1	12
E51	265	266	5	7	12
E52	245	267	15	23	38
E53	245	268	44	352	396
E54	260	269	8	14	22
E55	270	271	32	106	138
E56	272	273	13	29	42
E57	272	274	39	75	114
E58	41	275	13	18	31
