Name:		mggdb_0.50_13
Optimal value:	259
#Vehicles:	6
Capacity:	41
Depot Node:	1
#Nodes:		10
#Edges:		7
#Arcs:		42
#Required N:	8
#Required E:	3
#Required A:	10

ReN.	DEMAND	S. COST
N2	18	18
N3	19	19
N4	13	13
N5	9	9
N6	5	5
N7	26	26
N8	27	27
N9	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	4	2	3	4	4
E6	1	5	7	12	12
E7	2	1	15	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	6	9	13
NrE2	8	9	22
NrE3	5	6	20
NrE4	7	10	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A12	1	7	4	13	13
A13	1	9	11	16	16
A14	4	3	28	7	7
A15	2	8	13	13	13
A16	5	7	42	5	5
A17	5	9	12	5	5
A18	3	6	1	7	7
A19	4	5	2	15	15
A20	6	7	9	8	8
A21	3	7	10	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	8	10	99
NrA2	3	8	24
NrA3	3	1	8
NrA4	1	6	18
NrA5	9	10	20
NrA6	1	8	24
NrA7	4	1	6
NrA8	7	9	60
NrA9	2	5	12
NrA10	2	3	5
NrA11	7	8	16
NrA22	10	8	99
NrA23	8	3	24
NrA24	1	3	8
NrA25	6	1	18
NrA26	10	9	20
NrA27	8	1	24
NrA28	1	4	6
NrA29	9	7	60
NrA30	5	2	12
NrA31	3	2	5
NrA32	8	7	16
NrA33	7	1	4
NrA34	9	1	11
NrA35	3	4	28
NrA36	8	2	13
NrA37	7	5	42
NrA38	9	5	12
NrA39	6	3	1
NrA40	5	4	2
NrA41	7	6	9
NrA42	7	3	10
