Name:		DI-NEARP-n442-Q8k
Optimal value:	-1
#Vehicles:	-1
Capacity:	8000
Depot Node:	572
#Nodes:		761
#Edges:		917
#Arcs:		0
#Required N:	294
#Required E:	148
#Required A:	0

ReN.	DEMAND	S. COST
N1	37	37
N2	1	1
N3	24	24
N4	24	24
N5	1	1
N6	1	1
N7	44	44
N8	24	24
N9	1	1
N10	29	29
N11	1	1
N12	17	17
N13	17	17
N14	24	24
N15	1	1
N16	1	1
N17	17	17
N18	1	1
N19	1	1
N20	24	24
N21	1	1
N22	35	35
N23	17	17
N24	1	1
N25	22	22
N26	1	1
N27	66	66
N28	1	1
N29	17	17
N30	37	37
N31	30	30
N32	17	17
N33	17	17
N34	24	24
N35	1	1
N36	37	37
N37	17	17
N38	24	24
N39	22	22
N40	17	17
N41	37	37
N42	24	24
N43	42	42
N44	22	22
N45	17	17
N46	17	17
N47	17	17
N48	22	22
N49	17	17
N50	24	24
N51	34	34
N52	17	17
N53	17	17
N54	17	17
N55	1	1
N56	40	40
N57	30	30
N58	30	30
N59	17	17
N60	1	1
N61	35	35
N62	17	17
N63	112	112
N64	1	1
N65	17	17
N66	24	24
N67	17	17
N68	1	1
N69	24	24
N70	17	17
N71	17	17
N72	1	1
N73	17	17
N74	17	17
N75	24	24
N76	24	24
N77	1	1
N78	29	29
N79	35	35
N80	47	47
N81	17	17
N82	17	17
N83	1	1
N84	36	36
N85	24	24
N86	22	22
N87	17	17
N88	1	1
N89	1	1
N90	17	17
N91	24	24
N92	21	21
N93	1	1
N94	25	25
N95	1	1
N96	1	1
N97	17	17
N98	1	1
N99	58	58
N100	17	17
N101	17	17
N102	24	24
N103	29	29
N104	22	22
N105	17	17
N106	17	17
N107	24	24
N108	1	1
N109	17	17
N110	1	1
N111	17	17
N112	17	17
N113	1	1
N114	1	1
N115	24	24
N116	17	17
N117	24	24
N118	17	17
N119	24	24
N120	30	30
N121	17	17
N122	37	37
N123	17	17
N124	1	1
N125	17	17
N126	17	17
N127	26	26
N128	30	30
N129	17	17
N130	1	1
N131	37	37
N132	27	27
N133	1	1
N134	17	17
N135	17	17
N136	17	17
N137	17	17
N138	17	17
N139	37	37
N140	1	1
N141	17	17
N142	30	30
N143	17	17
N144	24	24
N145	1	1
N146	39	39
N147	1	1
N148	17	17
N149	22	22
N150	1	1
N151	35	35
N152	22	22
N153	1	1
N154	17	17
N155	17	17
N156	1	1
N157	19	19
N158	35	35
N159	38	38
N160	30	30
N161	29	29
N162	24	24
N163	32	32
N164	24	24
N165	17	17
N166	24	24
N167	37	37
N168	1	1
N169	1	1
N170	24	24
N171	17	17
N172	37	37
N173	17	17
N174	1	1
N175	22	22
N176	17	17
N177	17	17
N178	1	1
N179	24	24
N180	17	17
N181	22	22
N182	1	1
N183	1	1
N184	30	30
N185	42	42
N186	17	17
N187	22	22
N188	17	17
N189	1	1
N190	22	22
N191	1	1
N192	22	22
N193	37	37
N194	1	1
N195	17	17
N196	17	17
N197	17	17
N198	44	44
N199	17	17
N200	24	24
N201	27	27
N202	1	1
N203	22	22
N204	1	1
N205	17	17
N206	24	24
N207	1	1
N208	189	189
N209	27	27
N210	1	1
N211	1	1
N212	1	1
N213	1	1
N214	16	16
N215	17	17
N216	1	1
N217	52	52
N218	1	1
N219	45	45
N220	17	17
N221	1	1
N222	1	1
N223	1	1
N224	25	25
N225	1	1
N226	22	22
N227	1	1
N228	17	17
N229	132	132
N230	1	1
N231	1	1
N232	17	17
N233	1	1
N234	17	17
N235	1	1
N236	1	1
N237	1	1
N238	1	1
N239	22	22
N240	1	1
N241	22	22
N242	24	24
N243	22	22
N244	119	119
N245	54	54
N246	57	57
N247	40	40
N248	125	125
N249	69	69
N250	65	65
N251	79	79
N252	109	109
N253	76	76
N254	18	18
N255	26	26
N256	217	217
N257	58	58
N258	2	2
N259	19	19
N260	34	34
N261	38	38
N262	54	54
N263	21	21
N264	42	42
N265	44	44
N266	5	5
N267	86	86
N268	98	98
N269	48	48
N270	68	68
N271	66	66
N272	58	58
N273	31	31
N274	72	72
N275	78	78
N276	18	18
N277	43	43
N278	88	88
N279	39	39
N280	180	180
N281	63	63
N282	2	2
N283	10	10
N284	56	56
N285	29	29
N286	62	62
N287	24	24
N288	3	3
N289	79	79
N290	31	31
N291	112	112
N292	256	256
N293	2	2
N294	36	36

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	295	296	130	53	183
E2	297	12	61	78	139
E3	298	299	40	46	86
E4	300	301	55	18	73
E5	302	303	44	34	78
E6	304	305	336	99	435
E7	33	34	50	145	195
E8	306	307	283	52	335
E9	308	309	125	78	203
