Name:		mggdb_0.40_12
Optimal value:	412
#Vehicles:	7
Capacity:	35
Depot Node:	1
#Nodes:		13
#Edges:		5
#Arcs:		36
#Required N:	6
#Required E:	3
#Required A:	10

ReN.	DEMAND	S. COST
N2	23	23
N4	30	30
N5	1	1
N6	18	18
N8	6	6
N9	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E3	11	12	19	15	15
E4	7	9	30	3	3
E5	5	10	3	11	11

EDGE	FROM N.	TO N.	T. COST
NrE1	6	10	13
NrE2	2	7	9

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A9	4	11	30	16	16
A10	11	13	12	1	1
A11	1	3	7	12	12
A12	3	6	11	3	3
A13	2	3	16	13	13
A14	2	6	8	8	8
A15	12	13	14	14	14
A16	1	2	5	7	7
A17	10	11	15	14	14
A18	4	10	26	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	9	13	8
NrA2	6	12	17
NrA3	2	8	14
NrA4	1	4	10
NrA5	1	5	19
NrA6	8	9	18
NrA7	4	5	11
NrA8	8	12	21
NrA19	13	9	8
NrA20	12	6	17
NrA21	8	2	14
NrA22	4	1	10
NrA23	5	1	19
NrA24	9	8	18
NrA25	5	4	11
NrA26	12	8	21
NrA27	11	4	30
NrA28	13	11	12
NrA29	3	1	7
NrA30	6	3	11
NrA31	3	2	16
NrA32	6	2	8
NrA33	13	12	14
NrA34	2	1	5
NrA35	11	10	15
NrA36	10	4	26
