Name:		DI-NEARP-n240-Q16k
Optimal value:	-1
#Vehicles:	-1
Capacity:	16000
Depot Node:	485
#Nodes:		563
#Edges:		815
#Arcs:		0
#Required N:	120
#Required E:	120
#Required A:	0

ReN.	DEMAND	S. COST
N1	37	37
N2	62	62
N3	31	31
N4	1	1
N5	1	1
N6	26	26
N7	1	1
N8	1	1
N9	83	83
N10	11	11
N11	62	62
N12	57	57
N13	57	57
N14	46	46
N15	9	9
N16	1	1
N17	37	37
N18	1	1
N19	11	11
N20	6	6
N21	1	1
N22	26	26
N23	45	45
N24	1	1
N25	31	31
N26	31	31
N27	7	7
N28	73	73
N29	1	1
N30	1	1
N31	7	7
N32	60	60
N33	1	1
N34	6	6
N35	1	1
N36	14	14
N37	133	133
N38	13	13
N39	1	1
N40	42	42
N41	7	7
N42	51	51
N43	97	97
N44	7	7
N45	12	12
N46	26	26
N47	1	1
N48	7	7
N49	57	57
N50	7	7
N51	1	1
N52	1	1
N53	51	51
N54	1	1
N55	1	1
N56	1	1
N57	57	57
N58	1	1
N59	26	26
N60	1	1
N61	1	1
N62	1	1
N63	1	1
N64	62	62
N65	215	215
N66	204	204
N67	1	1
N68	7	7
N69	6	6
N70	1	1
N71	30	30
N72	118	118
N73	53	53
N74	22	22
N75	22	22
N76	1	1
N77	7	7
N78	7	7
N79	1	1
N80	1	1
N81	12	12
N82	1	1
N83	7	7
N84	1	1
N85	46	46
N86	40	40
N87	7	7
N88	40	40
N89	76	76
N90	1	1
N91	57	57
N92	12	12
N93	1	1
N94	1	1
N95	1	1
N96	44	44
N97	124	124
N98	259	259
N99	124	124
N100	6	6
N101	57	57
N102	93	93
N103	82	82
N104	68	68
N105	7	7
N106	47	47
N107	152	152
N108	18	18
N109	19	19
N110	6	6
N111	96	96
N112	11	11
N113	89	89
N114	38	38
N115	28	28
N116	48	48
N117	39	39
N118	13	13
N119	39	39
N120	79	79

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	121	122	52	177	229
E2	123	124	26	60	86
E3	125	126	47	116	163
E4	127	9	29	40	69
E5	10	123	22	1	23
E6	128	129	20	37	57
E7	130	131	29	53	82
E8	132	133	30	46	76
E9	134	135	40	142	182
E10	129	136	6	42	48
E11	137	138	26	95	121
E12	139	140	41	98	139
E13	141	142	108	78	186
E14	143	121	20	32	52
E15	144	145	12	48	60
E16	133	146	30	86	116
E17	147	148	11	97	108
E18	149	150	15	12	27
E19	151	152	117	120	237
E20	142	152	36	21	57
E21	153	154	87	52	139
E22	155	156	97	48	145
E23	157	149	16	77	93
E24	158	159	33	38	71
E25	160	8	108	48	156
E26	161	162	14	80	94
E27	163	164	48	65	113
E28	165	166	23	316	339
E29	167	168	34	93	127
E30	169	170	16	136	152
E31	171	108	30	23	53
E32	172	173	37	90	127
E33	174	175	16	31	47
E34	176	177	36	22	58
E35	35	178	57	26	83
E36	179	180	96	60	156
E37	181	182	16	46	62
E38	183	142	121	127	248
E39	184	152	43	23	66
E40	185	186	49	81	130
E41	42	187	12	106	118
E42	188	189	28	34	62
E43	190	191	40	50	90
E44	192	193	54	21	75
E45	145	194	16	83	99
E46	195	196	47	16	63
E47	108	197	31	31	62
E48	180	198	40	35	75
E49	199	200	21	126	147
E50	201	202	25	7	32
E51	203	204	16	7	23
E52	171	205	37	4	41
E53	206	35	47	24	71
E54	61	207	12	74	86
E55	208	209	37	123	160
E56	210	211	53	143	196
E57	212	201	22	7	29
E58	213	214	25	104	129
E59	215	125	18	7	25
E60	198	176	99	74	173
E61	216	217	16	86	102
E62	218	219	42	13	55
E63	220	221	11	17	28
E64	222	223	61	45	106
E65	224	113	43	189	232
E66	225	226	33	118	151
E67	227	228	16	51	67
E68	229	230	23	35	58
E69	231	232	34	139	173
E70	156	154	42	7	49
E71	68	233	59	30	89
E72	234	45	48	68	116
E73	235	236	22	75	97
E74	32	237	13	32	45
E75	238	239	24	63	87
E76	240	179	25	100	125
E77	241	242	29	1	30
E78	243	244	15	120	135
E79	1	210	20	145	165
E80	205	197	29	7	36
E81	245	246	16	65	81
E82	247	248	21	31	52
E83	249	137	12	111	123
E84	250	150	26	63	89
E85	251	252	29	105	134
E86	253	254	45	143	188
E87	255	256	25	207	232
E88	257	258	61	58	119
E89	259	78	12	7	19
E90	260	261	53	704	757
E91	162	229	30	102	132
E92	262	263	39	51	90
E93	180	264	30	16	46
E94	242	204	80	153	233
E95	265	266	102	89	191
E96	267	268	44	69	113
E97	269	270	16	172	188
E98	271	219	56	150	206
E99	219	141	98	82	180
E100	272	273	21	69	90
E101	235	274	21	46	67
E102	74	275	10	126	136
E103	276	277	14	1	15
