Name:		mggdb_0.35_5
Optimal value:	-1
#Vehicles:	6
Capacity:	5
Depot Node:	1
#Nodes:		13
#Edges:		6
#Arcs:		40
#Required N:	7
#Required E:	3
#Required A:	13

ReN.	DEMAND	S. COST
N2	1	1
N3	3	3
N4	1	1
N5	1	1
N7	2	2
N8	1	1
N9	1	1

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E4	9	10	16	1	1
E5	7	8	8	1	1
E6	6	12	3	1	1

EDGE	FROM N.	TO N.	T. COST
NrE1	8	11	10
NrE2	4	13	6
NrE3	7	12	18

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A8	1	2	13	1	1
A9	6	7	4	1	1
A10	5	12	11	1	1
A11	12	13	19	1	1
A12	5	13	17	1	1
A13	10	11	12	1	1
A14	1	4	17	1	1
A15	2	4	9	1	1
A16	5	6	7	1	1
A17	1	10	19	1	1
A18	2	9	2	1	1
A19	1	12	4	1	1
A20	8	10	3	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	18
NrA2	9	11	14
NrA3	3	5	5
NrA4	5	11	20
NrA5	3	13	22
NrA6	1	7	19
NrA7	3	4	20
NrA21	3	2	18
NrA22	11	9	14
NrA23	5	3	5
NrA24	11	5	20
NrA25	13	3	22
NrA26	7	1	19
NrA27	4	3	20
NrA28	2	1	13
NrA29	7	6	4
NrA30	12	5	11
NrA31	13	12	19
NrA32	13	5	17
NrA33	11	10	12
NrA34	4	1	17
NrA35	4	2	9
NrA36	6	5	7
NrA37	10	1	19
NrA38	9	2	2
NrA39	12	1	4
NrA40	10	8	3
