Name:		DI-NEARP-n699-Q16k
Optimal value:	-1
#Vehicles:	-1
Capacity:	16000
Depot Node:	365
#Nodes:		982
#Edges:		1103
#Arcs:		0
#Required N:	335
#Required E:	364
#Required A:	0

ReN.	DEMAND	S. COST
N1	37	37
N2	42	42
N3	47	47
N4	37	37
N5	129	129
N6	37	37
N7	42	42
N8	62	62
N9	42	42
N10	62	62
N11	1	1
N12	50	50
N13	37	37
N14	1	1
N15	1	1
N16	42	42
N17	37	37
N18	37	37
N19	1	1
N20	1	1
N21	47	47
N22	224	224
N23	1	1
N24	37	37
N25	1	1
N26	47	47
N27	50	50
N28	37	37
N29	37	37
N30	37	37
N31	1	1
N32	49	49
N33	47	47
N34	37	37
N35	1	1
N36	37	37
N37	42	42
N38	1	1
N39	54	54
N40	42	42
N41	44	44
N42	78	78
N43	42	42
N44	42	42
N45	1	1
N46	50	50
N47	37	37
N48	69	69
N49	372	372
N50	37	37
N51	37	37
N52	89	89
N53	42	42
N54	104	104
N55	55	55
N56	1	1
N57	1	1
N58	1	1
N59	55	55
N60	44	44
N61	37	37
N62	1	1
N63	75	75
N64	1	1
N65	42	42
N66	37	37
N67	132	132
N68	37	37
N69	42	42
N70	37	37
N71	37	37
N72	37	37
N73	37	37
N74	37	37
N75	37	37
N76	37	37
N77	42	42
N78	1	1
N79	42	42
N80	1	1
N81	1	1
N82	1	1
N83	42	42
N84	37	37
N85	1	1
N86	42	42
N87	37	37
N88	37	37
N89	42	42
N90	37	37
N91	145	145
N92	37	37
N93	42	42
N94	1	1
N95	296	296
N96	114	114
N97	65	65
N98	44	44
N99	54	54
N100	37	37
N101	47	47
N102	1	1
N103	1	1
N104	44	44
N105	44	44
N106	55	55
N107	54	54
N108	37	37
N109	273	273
N110	60	60
N111	125	125
N112	42	42
N113	55	55
N114	131	131
N115	37	37
N116	37	37
N117	1	1
N118	1	1
N119	50	50
N120	37	37
N121	83	83
N122	1	1
N123	1	1
N124	37	37
N125	1	1
N126	1	1
N127	37	37
N128	37	37
N129	37	37
N130	44	44
N131	37	37
N132	50	50
N133	89	89
N134	1	1
N135	42	42
N136	44	44
N137	57	57
N138	42	42
N139	44	44
N140	1	1
N141	37	37
N142	42	42
N143	1	1
N144	94	94
N145	49	49
N146	42	42
N147	1	1
N148	37	37
N149	37	37
N150	37	37
N151	42	42
N152	37	37
N153	37	37
N154	37	37
N155	37	37
N156	50	50
N157	1	1
N158	1	1
N159	60	60
N160	47	47
N161	37	37
N162	37	37
N163	42	42
N164	44	44
N165	42	42
N166	162	162
N167	77	77
N168	94	94
N169	79	79
N170	1	1
N171	1	1
N172	37	37
N173	37	37
N174	1	1
N175	44	44
N176	42	42
N177	1	1
N178	42	42
N179	42	42
N180	37	37
N181	64	64
N182	37	37
N183	37	37
N184	49	49
N185	37	37
N186	57	57
N187	37	37
N188	72	72
N189	44	44
N190	44	44
N191	1	1
N192	79	79
N193	55	55
N194	64	64
N195	44	44
N196	64	64
N197	57	57
N198	114	114
N199	42	42
N200	1	1
N201	37	37
N202	49	49
N203	42	42
N204	67	67
N205	72	72
N206	1	1
N207	62	62
N208	42	42
N209	65	65
N210	55	55
N211	1	1
N212	62	62
N213	42	42
N214	50	50
N215	1	1
N216	83	83
N217	37	37
N218	49	49
N219	47	47
N220	54	54
N221	37	37
N222	1	1
N223	42	42
N224	1	1
N225	86	86
N226	55	55
N227	44	44
N228	37	37
N229	42	42
N230	1	1
N231	37	37
N232	55	55
N233	44	44
N234	1	1
N235	37	37
N236	44	44
N237	50	50
N238	1	1
N239	44	44
N240	60	60
N241	1	1
N242	60	60
N243	62	62
N244	37	37
N245	1	1
N246	44	44
N247	37	37
N248	1	1
N249	44	44
N250	37	37
N251	37	37
N252	37	37
N253	8	8
N254	1	1
N255	1	1
N256	49	49
N257	37	37
N258	42	42
N259	1	1
N260	44	44
N261	37	37
N262	3	3
N263	129	129
N264	129	129
N265	265	265
N266	99	99
N267	44	44
N268	14	14
N269	144	144
N270	140	140
N271	82	82
N272	127	127
N273	117	117
N274	96	96
N275	291	291
N276	46	46
N277	161	161
N278	190	190
N279	80	80
N280	74	74
N281	55	55
N282	844	844
N283	47	47
N284	53	53
N285	150	150
N286	57	57
N287	172	172
N288	60	60
N289	126	126
N290	88	88
N291	42	42
N292	42	42
N293	87	87
N294	80	80
N295	90	90
N296	87	87
N297	49	49
N298	75	75
N299	40	40
N300	121	121
N301	83	83
N302	83	83
N303	131	131
N304	46	46
N305	133	133
N306	86	86
N307	94	94
N308	171	171
N309	83	83
N310	56	56
N311	352	352
N312	74	74
N313	84	84
N314	37	37
N315	92	92
N316	85	85
