Name:			BHW9.dat
#Vehicles:		20
Capacity:		75
Depot:			1
#Nodes:			50
#Edges:			26
#Arcs:			142
#Required-N:	10
#Required-E:	26
#Required-A:	142
#Nb-Turns:		790

----------NODES----------
INDEX	QTY	IS-REQUIRED	X	Y
1	0	0	238.4	273.44
2	0	0	160.10	299.93
3	7	1	80.6	317.16
4	10	1	7.36	366.16
5	10	1	296.68	211.88
6	0	0	221.40	248.97
7	9	1	165.87	287.17
8	0	0	147.77	266.62
9	0	0	118.29	242.45
10	6	1	10.0	327.65
11	0	0	262.83	176.31
12	0	0	212.19	217.81
13	0	0	194.83	222.5
14	0	0	154.2	219.75
15	0	0	137.74	213.8
16	0	0	103.97	206.39
17	0	0	0.55	238.66
18	0	0	283.38	166.98
19	12	1	270.85	161.6
20	0	0	240.92	203.62
21	0	0	201.99	183.61
22	0	0	138.97	172.88
23	7	1	135.62	196.34
24	0	0	66.30	175.89
25	11	1	51.91	151.52
26	0	0	276.20	143.43
27	0	0	234.58	140.88
28	0	0	82.0	115.89
29	0	0	308.53	140.14
30	0	0	274.77	125.20
31	0	0	136.22	130.66
32	0	0	95.79	111.38
33	0	0	329.16	88.49
34	0	0	273.52	107.3
35	0	0	241.1	87.97
36	0	0	180.46	78.3
37	0	0	144.91	93.45
38	0	0	86.92	46.13
39	0	0	370.23	99.23
40	0	0	281.78	92.45
41	2	1	257.59	46.52
42	0	0	190.8	46.76
43	0	0	131.47	60.83
44	0	0	190.89	32.67
45	0	0	129.5	46.41
46	0	0	351.30	27.15
47	0	0	301.38	66.25
48	0	0	269.65	39.62
49	12	1	245.44	19.27
50	0	0	130.24	0.55

----------EDGES----------
INDEX-I	INDEX-J	QTY	IS-REQUIRED	TR-COST
34	35	5	1	2
34	40	5	1	1
35	36	6	1	3
35	41	4	1	3
36	37	4	1	2
36	42	6	1	2
37	38	9	1	7
37	43	7	1	2
38	43	8	1	3
38	45	9	1	7
40	41	4	1	3
40	47	3	1	2
41	42	6	1	4
41	48	3	1	1
41	49	4	1	2
42	43	9	1	4
42	44	3	1	1
43	45	4	1	1
43	50	6	1	6
44	49	5	1	4
44	50	7	1	5
45	50	7	1	3
46	47	7	1	4
47	48	6	1	3
48	49	10	1	7
49	50	12	1	10

-----------ARCS----------
