Name:			DI-NEARP-n422-Q16k.dat
#Vehicles:		4
Capacity:		16000
Depot:			507
#Nodes:			710
#Edges:			871
#Arcs:			0
#Required-N:	302
#Required-E:	120
#Required-A:	0
#Nb-Turns:		4886

----------NODES----------
INDEX	QTY	IS-REQUIRED	X	Y
1	7	1	524.72	293.25
2	53	1	1120.84	948.94
3	1	1	1125.57	949.24
4	41	1	2597.21	1226.19
5	1	1	413.93	236.9
6	7	1	605.2	670.86
7	7	1	583.49	671.83
8	1	1	571.77	673.10
9	7	1	543.33	673.51
10	16	1	522.80	277.65
11	12	1	591.18	421.80
12	7	1	593.6	420.76
13	1	1	529.22	458.89
14	1	1	2244.88	1252.60
15	18	1	748.32	471.49
16	20	1	922.6	905.72
17	1	1	1053.58	908.65
18	7	1	1268.85	950.44
19	7	1	898.97	894.3
20	1	1	1134.16	928.23
21	14	1	150.98	476.54
22	1	1	812.27	608.33
23	19	1	2149.89	1244.56
24	1	1	1785.42	1175.30
25	63	1	517.40	606.93
26	7	1	577.68	813.91
27	7	1	470.48	551.97
28	1	1	154.37	483.1
29	1	1	288.56	75.12
30	7	1	469.16	575.65
31	1	1	924.90	795.37
32	7	1	674.63	403.16
33	119	1	466.31	308.5
34	27	1	413.6	493.20
35	7	1	646.98	432.83
36	1	1	592.87	702.53
37	7	1	1902.65	1254.13
38	7	1	725.57	484.96
39	7	1	135.28	462.97
40	7	1	274.83	22.74
41	1	1	131.18	390.37
42	1	1	990.53	877.40
43	7	1	424.1	275.30
44	93	1	507.31	532.14
45	1	1	255.7	39.69
46	1	1	941.40	809.99
47	7	1	867.37	838.33
48	7	1	923.18	910.57
49	7	1	925.72	921.54
50	1	1	479.80	528.57
51	1	1	509.36	520.51
52	21	1	780.37	461.68
53	137	1	417.89	541.80
54	7	1	491.10	515.44
55	1	1	331.27	200.64
56	7	1	413.92	501.13
57	1	1	484.64	518.98
58	24	1	480.22	516.98
59	7	1	927.9	931.94
60	7	1	505.64	533.78
61	1	1	474.28	539.67
62	1	1	478.99	526.63
63	12	1	873.35	417.70
64	20	1	617.15	656.23
65	103	1	523.67	288.86
66	12	1	495.7	485.29
67	6	1	961.33	803.65
68	1	1	2526.99	1273.18
69	32	1	619.28	384.79
70	44	1	491.29	564.43
71	1	1	506.16	542.59
72	7	1	902.34	755.97
73	62	1	427.75	482.98
74	44	1	390.30	490.56
75	84	1	468.66	478.30
76	1	1	401.36	505.0
77	55	1	467.26	480.6
78	1	1	863.13	425.52
79	1	1	583.9	628.39
80	12	1	506.27	490.38
81	1	1	1138.78	986.14
82	7	1	512.32	456.96
83	1	1	933.59	959.52
84	1	1	934.58	941.95
85	1	1	514.48	516.61
86	1	1	522.92	438.9
87	49	1	486.96	583.86
88	1	1	549.48	441.21
89	1	1	508.29	560.96
90	1	1	472.29	545.72
91	38	1	559.98	375.48
92	1	1	585.35	627.50
93	1	1	426.10	251.14
94	29	1	489.65	578.38
95	19	1	858.96	841.98
96	1	1	494.86	479.23
97	12	1	487.24	492.21
98	1	1	510.14	516.85
99	1	1	492.13	569.68
100	1	1	486.75	573.83
101	1	1	2529.33	1273.45
102	60	1	652.69	676.39
103	7	1	1759.86	1216.93
104	7	1	2561.42	3241.99
105	7	1	4241.96	3659.17
106	7	1	2543.85	3259.67
