Name:			p11
#Vehicles:		16
Capacity:		570
Depot:			1
#Nodes:			140
#Edges:			80
#Arcs:			330
#Required-N:	0
#Required-E:	80
#Required-A:	231
#Nb-Turns:		1837

----------NODES----------
INDEX	QTY	IS-REQUIRED	X	Y
1	0	0	150.70	18.70
2	0	0	85.44	47.60
3	0	0	144.16	71.87
4	0	0	82.9	178.21
5	0	0	94.58	93.45
6	0	0	103.23	9.87
7	0	0	115.69	67.8
8	0	0	177.30	113.63
9	0	0	156.88	116.11
10	0	0	46.95	92.99
11	0	0	94.11	178.88
12	0	0	25.95	129.13
13	0	0	57.83	92.34
14	0	0	130.27	132.98
15	0	0	123.69	117.85
16	0	0	93.53	140.94
17	0	0	82.54	94.54
18	0	0	2.13	105.9
19	0	0	127.6	65.12
20	0	0	113.80	147.88
21	0	0	32.29	137.95
22	0	0	29.72	155.8
23	0	0	173.36	61.63
24	0	0	48.82	185.91
25	0	0	83.44	76.92
26	0	0	106.65	106.77
27	0	0	90.32	168.93
28	0	0	122.62	151.23
29	0	0	55.48	65.20
30	0	0	84.8	192.38
31	0	0	87.12	144.6
32	0	0	148.67	138.12
33	0	0	170.19	98.17
34	0	0	103.21	84.9
35	0	0	81.24	20.97
36	0	0	120.35	75.27
37	0	0	167.56	184.96
38	0	0	71.1	98.53
39	0	0	66.22	169.37
40	0	0	82.3	165.73
41	0	0	47.49	152.85
42	0	0	162.47	105.89
43	0	0	151.68	163.85
44	0	0	176.36	163.23
45	0	0	69.0	123.46
46	0	0	129.95	163.30
47	0	0	36.71	110.57
48	0	0	127.39	88.71
49	0	0	149.50	50.92
50	0	0	127.47	111.19
51	0	0	72.92	134.83
52	0	0	68.31	63.15
53	0	0	118.87	164.42
54	0	0	102.34	149.53
55	0	0	195.48	24.5
56	0	0	52.22	75.14
57	0	0	202.50	173.27
58	0	0	117.88	109.63
59	0	0	111.59	183.67
60	0	0	176.86	138.16
61	0	0	183.18	155.41
62	0	0	46.16	159.7
63	0	0	0.55	129.14
64	0	0	82.24	105.82
65	0	0	147.55	59.34
66	0	0	109.98	161.57
67	0	0	94.39	59.91
68	0	0	62.10	40.13
69	0	0	174.89	90.39
70	0	0	186.43	107.52
71	0	0	160.4	82.79
72	0	0	135.83	113.84
73	0	0	104.91	174.53
74	0	0	13.18	121.93
75	0	0	21.56	69.35
76	0	0	71.58	80.58
77	0	0	44.0	116.96
78	0	0	61.67	62.53
79	0	0	103.61	183.17
80	0	0	181.46	126.62
81	0	0	42.97	143.27
82	0	0	89.79	108.69
83	0	0	67.69	142.39
84	0	0	131.15	0.55
85	0	0	49.36	113.14
86	0	0	121.48	93.56
87	0	0	102.27	99.88
88	0	0	140.37	80.86
89	0	0	86.8	139.35
90	0	0	80.49	102.17
91	0	0	98.17	74.38
92	0	0	122.17	56.86
93	0	0	116.9	137.34
94	0	0	67.4	136.56
95	0	0	45.87	78.84
96	0	0	114.32	83.66
97	0	0	49.88	98.65
98	0	0	185.51	117.22
99	0	0	53.82	105.0
100	0	0	150.86	109.65
101	0	0	125.72	81.80
102	0	0	68.10	100.53
103	0	0	199.20	65.5
104	0	0	152.60	152.76
105	0	0	140.10	91.43
106	0	0	101.54	127.12
107	0	0	33.11	89.1
108	0	0	87.32	126.39
109	0	0	106.25	135.10
110	0	0	99.49	108.39
111	0	0	66.57	126.7
112	0	0	89.81	185.5
113	0	0	144.40	97.73
114	0	0	104.73	83.30
115	0	0	170.86	119.53
116	0	0	42.34	67.89
117	0	0	125.71	168.5
118	0	0	130.42	147.14
119	0	0	80.36	87.22
120	0	0	55.60	118.51
121	0	0	39.10	106.23
122	0	0	100.66	78.85
123	0	0	155.4	71.70
124	0	0	125.72	139.33
125	0	0	153.32	124.54
126	0	0	110.75	124.96
127	0	0	134.64	69.25
128	0	0	68.55	179.9
129	0	0	168.6	141.52
130	0	0	102.81	65.26
131	0	0	99.74	154.3
132	0	0	51.76	87.75
133	0	0	70.87	114.71
134	0	0	164.54	98.84
135	0	0	112.48	45.56
136	0	0	62.19	158.4
137	0	0	44.97	127.61
138	0	0	47.72	93.34
139	0	0	121.36	159.87
140	0	0	18.64	88.91

----------EDGES----------
INDEX-I	INDEX-J	QTY	IS-REQUIRED	TR-COST
34	45	45	1	45
131	81	33	1	46
32	64	17	1	94
